Freq.	V(n001)/I(C1)
1.00000000000000e+002	(6.40364026296161e+001dB,-8.99996039999998e+001°)
1.02329299228075e+002	(6.38364026294643e+001dB,-8.99995947759749e+001°)
1.04712854805090e+002	(6.36364026293053e+001dB,-8.99995853370948e+001°)
1.07151930523761e+002	(6.34364026291388e+001dB,-8.99995756783549e+001°)
1.09647819614318e+002	(6.32364026289645e+001dB,-8.99995657946341e+001°)
1.12201845430196e+002	(6.30364026287820e+001dB,-8.99995556806919e+001°)
1.14815362149688e+002	(6.28364026285908e+001dB,-8.99995453311657e+001°)
1.17489755493953e+002	(6.26364026283907e+001dB,-8.99995347405680e+001°)
1.20226443461741e+002	(6.24364026281811e+001dB,-8.99995239032836e+001°)
1.23026877081238e+002	(6.22364026279616e+001dB,-8.99995128135665e+001°)
1.25892541179417e+002	(6.20364026277318e+001dB,-8.99995014655366e+001°)
1.28824955169313e+002	(6.18364026274912e+001dB,-8.99994898531772e+001°)
1.31825673855641e+002	(6.16364026272392e+001dB,-8.99994779703312e+001°)
1.34896288259165e+002	(6.14364026269754e+001dB,-8.99994658106981e+001°)
1.38038426460288e+002	(6.12364026266991e+001dB,-8.99994533678308e+001°)
1.41253754462275e+002	(6.10364026264098e+001dB,-8.99994406351319e+001°)
1.44543977074593e+002	(6.08364026261068e+001dB,-8.99994276058503e+001°)
1.47910838816821e+002	(6.06364026257896e+001dB,-8.99994142730778e+001°)
1.51356124843621e+002	(6.04364026254575e+001dB,-8.99994006297451e+001°)
1.54881661891248e+002	(6.02364026251096e+001dB,-8.99993866686184e+001°)
1.58489319246111e+002	(6.00364026247454e+001dB,-8.99993723822952e+001°)
1.62181009735893e+002	(5.98364026243641e+001dB,-8.99993577632008e+001°)
1.65958690743756e+002	(5.96364026239647e+001dB,-8.99993428035840e+001°)
1.69824365246174e+002	(5.94364026235465e+001dB,-8.99993274955129e+001°)
1.73780082874937e+002	(5.92364026231087e+001dB,-8.99993118308710e+001°)
1.77827941003892e+002	(5.90364026226501e+001dB,-8.99992958013528e+001°)
1.81970085860998e+002	(5.88364026221700e+001dB,-8.99992793984591e+001°)
1.86208713666287e+002	(5.86364026216673e+001dB,-8.99992626134929e+001°)
1.90546071796324e+002	(5.84364026211408e+001dB,-8.99992454375546e+001°)
1.94984459975804e+002	(5.82364026205896e+001dB,-8.99992278615374e+001°)
1.99526231496888e+002	(5.80364026200123e+001dB,-8.99992098761221e+001°)
2.04173794466953e+002	(5.78364026194079e+001dB,-8.99991914717726e+001°)
2.08929613085404e+002	(5.76364026187749e+001dB,-8.99991726387308e+001°)
2.13796208950223e+002	(5.74364026181122e+001dB,-8.99991533670111e+001°)
2.18776162394955e+002	(5.72364026174182e+001dB,-8.99991336463954e+001°)
2.23872113856834e+002	(5.70364026166915e+001dB,-8.99991134664274e+001°)
